,rise,state_code,U7B001,U7C005,U7B004,U7C002,state_name,U7B001_total,U7B001_percentage
170,1,OR,4466.237516432557,3481.025899351293,29.62195858016325,443.69588206108125,Oregon,4237256,0.1
171,2,OR,5911.574334273401,4636.713043615203,41.89500873846779,573.8526000918159,Oregon,4237256,0.1
172,3,OR,7315.300329991331,5758.519162637803,60.54243664707017,698.5821021504946,Oregon,4237256,0.2
173,4,OR,9296.890180019009,7296.859404816979,76.20182617726176,896.8460944582931,Oregon,4237256,0.2
174,5,OR,11549.518114264542,9011.822392948367,105.14961951727518,1137.4223347901705,Oregon,4237256,0.3
175,6,OR,14229.37423735503,11152.924480521177,133.2311285048519,1392.7926840374018,Oregon,4237256,0.3
176,7,OR,17744.438622326754,13902.958403172077,248.4575948155176,1747.8760444680545,Oregon,4237256,0.4
177,8,OR,20760.690297406632,16231.665474408937,283.31771612235696,2110.049193310224,Oregon,4237256,0.5
178,9,OR,23615.095451687896,18385.74043175371,325.095355536664,2453.8703722007635,Oregon,4237256,0.6
179,10,OR,26327.76605460489,20487.1504008007,354.27791744626126,2766.960679008608,Oregon,4237256,0.6
180,1,PA,674.4599244857029,342.1806125355425,201.77365007852583,53.17277776231271,Pennsylvania,13002700,0.0
181,2,PA,1427.0731468531608,756.4518131888098,415.6567630057313,88.97383005399857,Pennsylvania,13002700,0.0
182,3,PA,2869.7783174313454,1149.4333977840108,1231.6731527814786,162.2500482085062,Pennsylvania,13002700,0.0
183,4,PA,4619.487639726217,1753.066350693424,2121.359988205819,250.57237213731364,Pennsylvania,13002700,0.0
184,5,PA,6166.6461563986595,2487.2710914639306,2693.2769421075805,368.0856808207176,Pennsylvania,13002700,0.0
185,6,PA,8672.898583508682,3930.0278018932977,3345.4934322418612,540.0428787328993,Pennsylvania,13002700,0.1
186,7,PA,13839.041032206787,7490.472118451088,3981.296329170631,893.1934767698467,Pennsylvania,13002700,0.1
187,8,PA,26372.76518376857,14607.667099316403,5932.854893267341,2279.3915773725457,Pennsylvania,13002700,0.2
188,9,PA,37162.38535977682,20293.750381282327,7605.233681510787,3599.4694807967953,Pennsylvania,13002700,0.3
189,10,PA,48162.50780849927,26227.367138677837,9370.769478442777,4939.293489800321,Pennsylvania,13002700,0.4
190,1,RI,182.40380705967655,158.92928562595256,3.127255401481786,8.76320154036951,Rhode Island,1097379,0.0
191,2,RI,500.2195947408753,436.0781014254615,6.9546478230331985,25.1911939162495,Rhode Island,1097379,0.0
192,3,RI,2016.4864531184946,1709.1084145336656,57.56306315990073,100.55177715010146,Rhode Island,1097379,0.2
193,4,RI,3899.4754242948416,3311.9740545855148,102.11603216324916,196.74758644941346,Rhode Island,1097379,0.4
